descripcion,tipo,prioridad,idproyecto
Login de usuario,Funcional,Alta,1
Registro de usuario,Funcional,Alta,2
Tiempo de respuesta < 2s,Desempeño,Media,3
Diseño responsivo,UI/UX,Alta,4
Validación de campos,Funcional,Media,5
Soporte multiplataforma,Compatibilidad,Baja,6
Control de acceso,Seguridad,Alta,7
Auditoría de logs,Auditoría,Media,8
Soporte para idioma inglés,Funcional,Baja,9
Configuración externa,Configuración,Media,10
Integración con API externa,Integración,Alta,11
Respaldo automático,Recuperación,Alta,12
Formulario de contacto,Frontend,Baja,13
Visualización de reportes,Backend,Media,14
Notificaciones por email,Funcional,Media,15
