prioridad,titulo,estado,idrequisito,idtipo
Alta,Prueba de login,Activo,1,1
Alta,Prueba de registro,Activo,2,1
Media,Prueba de tiempo de carga,Inactivo,3,6
Alta,Prueba de diseño,Activo,4,3
Media,Prueba de validación,Inactivo,5,1
Baja,Prueba de compatibilidad,Activo,6,7
Alta,Prueba de seguridad,Inactivo,7,5
Media,Auditoría del sistema,Activo,8,10
Baja,Idioma inglés,Activo,9,1
Media,Prueba configuración,Inactivo,10,11
Alta,Integración con API,Activo,11,8
Alta,Prueba de backup,Inactivo,12,9
Baja,Formulario contacto,Activo,13,14
Media,Reportes generados,Activo,14,13
Media,Prueba de notificaciones,Inactivo,15,1
